"tower_id","city","mode_operator","distinct_operator_count","mode_state","distinct_state_count","mode_network_type","distinct_network_type_count","total_observations","avg_uptime_percentage","total_downtime_minutes","total_outage_count","total_users_affected","impactful_outage_observations","repeat_outage_indicator"
"ABU-5289","Abuja","Glo","1","Kwara","1","4G","1","1","94.57","78.19","0","390","1",0
"ABU-5290","Abuja","9mobile","1","Jigawa","1","4G","1","1","89.19","155.66","1","412","1",0
"ABU-5292","Abuja","Airtel","1","Jigawa","1","3G","1","1","90.31","139.54","4","71","1",0
"ABU-5294","Abuja","9mobile","1","Kaduna","1","4G","1","1","96.52","50.11","0","0","0",0
"ABU-5296","Abuja","MTN","1","Taraba","1","4G","1","1","90.97","130.03","4","365","1",0
"ABU-5300","Abuja","Airtel","1","Nasarawa","1","4G","1","1","95.38","66.53","0","0","0",0
"ABU-5302","Abuja","Airtel","2","Kano","2","3G","2","2","87.43","362.02","3","136","2",1
"ABU-5303","Abuja","9mobile","1","Kano","1","4G","1","1","99.12","12.67","0","0","0",0
"ABU-5308","Abuja","9mobile","1","Plateau","1","4G","1","1","91.65","120.24","0","464","1",0
"ABU-5312","Abuja","9mobile","3","Ebonyi","3","4G","2","3","92.82","310.31","6","298","2",1
"ABU-5314","Abuja","MTN","1","Adamawa","1","4G","1","1","91.29","125.42","4","330","1",0
"ABU-5315","Abuja","Airtel","1","Yobe","1","4G","1","1","91.09","128.30","4","484","1",0
"ABU-5317","Abuja","Airtel","1","Ebonyi","1","4G","1","1","87.47","180.43","0","287","1",0
"ABU-5318","Abuja","MTN","1","Jigawa","2","3G","2","2","95.62","126.29","2","288","1",0
"ABU-5320","Abuja","Glo","2","Enugu","2","3G","2","2","92.18","225.36","5","497","1",0
"ABU-5321","Abuja","Airtel","1","Adamawa","2","3G","2","2","89.98","288.57","4","565","2",1
"ABU-5322","Abuja","9mobile","2","Akwa Ibom","2","4G","1","2","93.58","185.04","8","884","2",1
"ABU-5324","Abuja","Airtel","2","Ogun","2","4G","1","2","93.27","193.97","4","906","2",1
"ABU-5325","Abuja","Glo","1","Edo","1","4G","1","1","88.77","161.71","4","217","1",0
"ABU-5326","Abuja","Glo","1","Cross River","3","3G","3","3","90.64","404.36","4","930","3",1
"ABU-5327","Abuja","9mobile","1","Cross River","1","3G","2","2","91.89","233.71","4","584","2",1
"ABU-5328","Abuja","Airtel","1","Kogi","1","4G","1","1","99.78","3.17","0","0","0",0
"ABU-5329","Abuja","Glo","1","Cross River","2","3G","2","2","92.65","211.82","1","372","1",0
"ABU-5331","Abuja","9mobile","2","Nasarawa","1","3G","1","2","90.08","285.84","1","698","2",1
"ABU-5336","Abuja","9mobile","2","Anambra","2","3G","1","2","93.96","173.95","4","652","2",1
"ABU-5337","Abuja","Airtel","2","Kebbi","3","3G","2","3","88.02","517.39","8","881","3",1
"ABU-5338","Abuja","Glo","1","Anambra","1","3G","1","1","99.97","0.43","0","0","0",0
"ABU-5339","Abuja","9mobile","1","Enugu","1","4G","1","1","89.11","156.82","3","79","1",0
"ABU-5340","Abuja","MTN","1","Kogi","1","4G","1","1","98.00","28.80","4","0","0",0
"ABU-5341","Abuja","Airtel","1","Delta","1","3G","1","1","91.79","118.22","3","479","1",0
"ABU-5342","Abuja","MTN","1","Rivers","1","3G","1","1","89.62","149.47","0","320","1",0
"ABU-5346","Abuja","9mobile","1","Kaduna","1","3G","1","1","98.27","24.91","5","0","0",0
"ABU-5347","Abuja","MTN","1","Niger","1","3G","1","1","94.05","85.68","3","340","1",0
"ABU-5351","Abuja","Airtel","1","Anambra","1","4G","1","1","95.25","68.40","0","0","0",0
"ABU-5352","Abuja","Glo","1","Kwara","1","4G","1","1","93.67","91.15","3","146","1",0
"ABU-5353","Abuja","Airtel","2","Plateau","2","4G","1","2","86.95","375.99","9","546","2",1
"ABU-5356","Abuja","Glo","1","Anambra","2","3G","2","2","90.76","266.25","2","313","2",1
"ABU-5357","Abuja","Glo","1","Bauchi","1","4G","1","1","87.02","186.91","1","72","1",0
"ABU-5358","Abuja","Airtel","2","Cross River","2","4G","1","2","92.32","221.33","4","920","2",1
"ABU-5360","Abuja","Glo","1","Bayelsa","1","4G","1","1","90.17","141.55","0","221","1",0
"ABU-5361","Abuja","MTN","1","Plateau","1","3G","1","1","88.94","159.26","2","395","1",0
"ABU-5365","Abuja","9mobile","2","Bauchi","2","3G","2","2","96.71","94.75","2","406","1",0
"ABU-5366","Abuja","Airtel","1","Osun","1","3G","1","1","85.04","215.42","2","440","1",0
"ABU-5371","Abuja","Glo","1","Benue","1","4G","1","1","97.01","43.06","1","0","0",0
"ABU-5374","Abuja","9mobile","1","Rivers","1","4G","1","1","87.63","178.13","5","161","1",0
"ABU-5376","Abuja","Airtel","2","Ebonyi","2","3G","1","2","93.07","199.73","4","123","1",0
"ABU-5377","Abuja","Airtel","1","Ondo","1","4G","1","1","95.19","69.26","5","0","0",0
"ABU-5378","Abuja","MTN","1","Kogi","1","4G","1","1","96.61","48.82","5","0","0",0
"ABU-5379","Abuja","Glo","1","Imo","1","3G","1","1","92.39","109.58","0","126","1",0
"ABU-5380","Abuja","Airtel","1","Ekiti","2","4G","1","2","94.45","159.84","9","324","1",0
"ABU-5381","Abuja","9mobile","1","Abia","1","4G","1","1","99.55","6.48","0","0","0",0
"ABU-5384","Abuja","9mobile","3","Akwa Ibom","3","2G","3","3","92.06","343.15","6","656","2",1
"ABU-5385","Abuja","Glo","1","Adamawa","1","4G","1","1","90.08","142.85","3","248","1",0
"ABU-5386","Abuja","9mobile","1","Ekiti","1","3G","1","1","90.95","130.32","0","304","1",0
"ABU-5387","Abuja","Glo","1","Zamfara","1","4G","1","1","96.78","46.37","5","0","0",0
"ABU-5389","Abuja","Airtel","1","Katsina","1","3G","1","1","93.14","98.78","3","406","1",0
"ABU-5392","Abuja","9mobile","1","Ekiti","1","4G","1","1","99.91","1.30","0","0","0",0
"ABU-5395","Abuja","9mobile","2","Edo","2","4G","1","2","95.54","128.45","2","165","1",0
"ABU-5399","Abuja","Glo","1","Ogun","1","4G","1","1","96.20","54.72","1","0","0",0
"ABU-5402","Abuja","Glo","1","Borno","1","4G","1","1","90.86","131.62","1","332","1",0
"ABU-5404","Abuja","Glo","1","Osun","1","4G","1","1","92.95","101.52","0","278","1",0
"ABU-5409","Abuja","9mobile","1","Osun","1","4G","1","1","93.25","97.20","2","119","1",0
"ABU-5410","Abuja","Airtel","1","Enugu","1","4G","1","1","98.59","20.30","5","0","0",0
"ABU-5412","Abuja","Airtel","1","Ondo","1","4G","1","1","90.12","142.27","0","142","1",0
"ABU-5415","Abuja","Glo","1","Borno","1","5G","1","1","89.90","145.44","1","453","1",0
"ABU-5418","Abuja","9mobile","2","Bauchi","2","4G","1","2","89.18","311.62","6","780","2",1
"ABU-5419","Abuja","9mobile","2","Kebbi","2","4G","1","2","97.53","71.14","8","0","0",0
"ABU-5421","Abuja","Glo","1","Adamawa","2","4G","1","2","90.48","274.18","6","255","2",1
"ABU-5422","Abuja","Glo","1","Yobe","1","4G","1","1","93.64","91.58","5","138","1",0
"ABU-5424","Abuja","Glo","1","Ogun","1","4G","1","1","94.32","81.79","4","438","1",0
"ABU-5425","Abuja","Airtel","1","Nasarawa","1","4G","1","1","86.68","191.81","5","317","1",0
"ABU-5427","Abuja","9mobile","2","Ebonyi","2","2G","2","2","95.29","135.65","3","358","1",0
"ABU-5430","Abuja","MTN","1","Benue","1","4G","1","1","89.92","145.15","3","313","1",0
"ABU-5432","Abuja","Glo","1","Kaduna","1","4G","1","1","86.34","196.70","0","335","1",0
"ABU-5434","Abuja","MTN","1","Yobe","1","4G","1","1","86.85","189.36","3","122","1",0
"ABU-5435","Abuja","9mobile","2","Bayelsa","2","3G","2","2","86.96","375.55","4","573","2",1
"ABU-5437","Abuja","Airtel","1","Imo","2","4G","1","2","92.65","211.83","5","442","2",1
"ABU-5439","Abuja","9mobile","1","Edo","1","3G","1","1","88.39","167.18","5","399","1",0
"ABU-5441","Abuja","Airtel","2","Adamawa","2","4G","1","2","88.24","338.83","3","806","2",1
"ABU-5446","Abuja","MTN","1","Bauchi","1","3G","1","1","92.45","108.72","5","396","1",0
"ABU-5447","Abuja","9mobile","1","Ondo","1","4G","1","1","93.94","87.26","1","474","1",0
"ABU-5448","Abuja","9mobile","2","Imo","2","3G","2","2","87.10","371.67","5","833","2",1
"ABU-5455","Abuja","Airtel","1","Plateau","1","4G","1","1","87.89","174.38","5","263","1",0
"ABU-5456","Abuja","9mobile","2","Adamawa","2","4G","1","2","98.76","35.86","1","0","0",0
"ABU-5458","Abuja","Airtel","1","Sokoto","1","4G","1","1","93.21","97.78","4","305","1",0
"ABU-5459","Abuja","Airtel","1","Ondo","1","4G","1","1","88.44","166.46","2","279","1",0
"ABU-5462","Abuja","Glo","1","Bauchi","3","4G","2","3","90.95","390.95","9","1003","3",1
"ABU-5463","Abuja","Airtel","1","Bauchi","1","4G","1","1","98.06","27.94","3","0","0",0
"ABU-5465","Abuja","9mobile","1","Cross River","1","3G","1","1","85.94","202.46","0","115","1",0
"ABU-5467","Abuja","Glo","1","Abia","1","2G","1","1","86.34","196.70","5","198","1",0
"ABU-5468","Abuja","Airtel","1","Oyo","1","4G","1","1","85.84","203.90","0","396","1",0
"ABU-5469","Abuja","9mobile","1","Kano","1","3G","1","1","94.79","75.02","2","93","1",0
"ABU-5470","Abuja","9mobile","3","Cross River","3","4G","2","3","92.03","344.30","10","655","3",1
"ABU-5472","Abuja","MTN","1","Kwara","1","3G","1","1","87.13","185.33","1","358","1",0
"ABU-5474","Abuja","Glo","1","Gombe","1","4G","1","1","90.56","135.94","0","229","1",0
"ABU-5479","Abuja","9mobile","1","Adamawa","1","5G","1","1","92.87","102.67","2","73","1",0
"ABU-5482","Abuja","Airtel","2","Edo","2","3G","2","2","93.58","185.04","3","228","1",0
"ABU-5485","Abuja","9mobile","3","Edo","3","3G","2","3","92.03","344.30","10","653","2",1
"ABU-5486","Abuja","Glo","1","Benue","1","4G","1","1","89.70","148.32","2","72","1",0
"ABU-5488","Abuja","9mobile","1","Plateau","1","4G","1","1","88.74","162.14","5","321","1",0
"ABU-5489","Abuja","9mobile","2","Borno","2","3G","2","2","90.48","274.17","7","583","2",1
"ABU-5491","Abuja","Glo","1","Nasarawa","1","3G","1","1","92.12","113.47","1","175","1",0
"ABU-5492","Abuja","9mobile","2","Kwara","2","2G","2","2","91.91","232.99","3","482","1",0
"ABU-5498","Abuja","Glo","1","Anambra","1","5G","1","1","92.70","105.12","1","281","1",0
"ABU-5499","Abuja","Airtel","1","Lagos","1","4G","1","1","87.20","184.32","4","313","1",0
"ABU-5501","Abuja","Airtel","3","Bayelsa","4","4G","3","4","88.47","664.41","18","1101","3",1
"ABU-5502","Abuja","Glo","1","Oyo","1","4G","1","1","88.47","166.03","4","316","1",0
"ABU-5503","Abuja","Airtel","1","Zamfara","1","4G","1","1","98.56","20.74","0","0","0",0
"ABU-5504","Abuja","9mobile","2","Imo","2","4G","1","2","91.30","250.56","7","613","2",1
"ABU-5505","Abuja","9mobile","1","Delta","1","4G","1","1","85.63","206.93","3","295","1",0
"ABU-5506","Abuja","Airtel","2","FCT","2","4G","1","2","96.07","113.32","0","114","1",0
"ABU-5507","Abuja","9mobile","2","Bayelsa","2","3G","2","2","95.13","140.40","7","85","1",0
"ABU-5510","Abuja","MTN","1","Abia","1","4G","1","1","95.69","62.06","0","0","0",0
"ABU-5511","Abuja","MTN","1","Zamfara","1","3G","1","1","99.35","9.36","0","0","0",0
"ABU-5515","Abuja","9mobile","2","Kaduna","2","4G","1","2","94.31","163.87","0","466","1",0
"ABU-5519","Abuja","Glo","1","Plateau","1","2G","1","1","91.48","122.69","3","438","1",0
"ABU-5520","Abuja","9mobile","1","Lagos","1","3G","1","1","88.94","159.26","2","225","1",0
"ABU-5521","Abuja","9mobile","1","Abia","1","3G","1","1","93.25","97.20","3","412","1",0
"ABU-5523","Abuja","9mobile","1","Akwa Ibom","1","3G","1","1","99.18","11.81","0","0","0",0
"ABU-5524","Abuja","9mobile","2","Enugu","2","2G","2","2","92.82","206.92","4","346","1",0
"ABU-5525","Abuja","Glo","1","Akwa Ibom","1","4G","1","1","92.01","115.06","3","171","1",0
"ABU-5526","Abuja","9mobile","1","FCT","1","3G","1","1","97.74","32.54","3","0","0",0
"ABU-5527","Abuja","Airtel","1","Anambra","1","4G","1","1","89.29","154.22","1","387","1",0
"ABU-5530","Abuja","MTN","1","Oyo","1","3G","1","1","92.33","110.45","1","345","1",0
"ABU-5531","Abuja","Airtel","1","Ogun","1","4G","1","1","91.01","129.46","3","326","1",0
"ABU-5533","Abuja","Glo","1","Plateau","1","2G","1","1","93.89","87.98","1","301","1",0
"ABU-5538","Abuja","Glo","1","Ondo","1","4G","1","1","97.93","29.81","3","0","0",0
"ABU-5539","Abuja","Airtel","3","Akwa Ibom","3","4G","1","3","87.72","530.64","10","634","3",1
"ABU-5542","Abuja","MTN","2","Adamawa","3","2G","3","3","95.54","192.82","10","379","1",0
"ABU-5545","Abuja","Airtel","1","Jigawa","2","4G","1","2","91.87","234.29","8","558","2",1
"ABU-5546","Abuja","Airtel","1","Ondo","1","3G","1","1","99.83","2.45","0","0","0",0
"ABU-5548","Abuja","Glo","1","Abia","1","3G","1","1","92.58","106.85","5","297","1",0
"ABU-5549","Abuja","MTN","1","Bauchi","1","3G","1","1","99.70","4.32","0","0","0",0
"ABU-5550","Abuja","Glo","1","Oyo","1","3G","1","1","95.19","69.26","5","0","0",0
"ABU-5552","Abuja","Airtel","1","Bayelsa","1","3G","1","1","94.03","85.97","5","110","1",0
"ABU-5553","Abuja","Airtel","1","Akwa Ibom","2","4G","2","2","88.71","325.30","1","803","2",1
"ABU-5554","Abuja","MTN","1","Kogi","1","4G","1","1","97.28","39.17","3","0","0",0
"ABU-5557","Abuja","9mobile","2","Edo","2","4G","1","2","88.89","319.97","6","511","2",1
"ABU-5558","Abuja","MTN","1","Zamfara","1","4G","1","1","91.92","116.35","3","366","1",0
"ABU-5559","Abuja","MTN","1","Katsina","1","2G","1","1","86.54","193.82","4","457","1",0
"ABU-5560","Abuja","Glo","1","Bauchi","1","4G","1","1","87.59","178.70","4","394","1",0
"ABU-5561","Abuja","9mobile","1","Jigawa","1","4G","1","1","87.98","173.09","0","359","1",0
"ABU-5563","Abuja","9mobile","3","Imo","2","3G","2","3","90.49","410.69","13","814","2",1
"ABU-5564","Abuja","9mobile","1","Kogi","1","4G","1","1","87.99","172.94","0","98","1",0
"ABU-5567","Abuja","Airtel","1","Benue","1","4G","1","1","95.93","58.61","4","0","0",0
"ABU-5570","Abuja","9mobile","2","Anambra","2","4G","2","2","92.65","211.68","1","347","1",0
"ABU-5573","Abuja","Glo","1","Zamfara","1","2G","1","1","93.87","88.27","3","51","1",0
"ABU-5574","Abuja","9mobile","3","Bauchi","3","3G","2","3","94.44","240.06","7","462","2",1
"ABU-5577","Abuja","MTN","2","Akwa Ibom","3","4G","2","3","91.44","369.79","6","652","2",1
"ABU-5578","Abuja","MTN","1","Yobe","1","3G","1","1","95.12","70.27","3","0","0",0
"ABU-5579","Abuja","Glo","2","Kwara","2","4G","1","2","92.34","220.75","5","478","1",0
"ABU-5580","Abuja","Airtel","1","Adamawa","1","4G","1","1","97.85","30.96","4","0","0",0
"ABU-5582","Abuja","MTN","1","Edo","1","4G","1","1","97.24","39.74","2","0","0",0
"ABU-5584","Abuja","MTN","1","Rivers","1","3G","1","1","99.88","1.73","0","0","0",0
"ABU-5586","Abuja","9mobile","1","Osun","1","3G","1","1","92.31","110.74","3","322","1",0
"ABU-5587","Abuja","9mobile","1","Zamfara","1","4G","1","1","95.81","60.34","3","0","0",0
"ABU-5590","Abuja","Airtel","1","Oyo","1","4G","1","1","98.08","27.65","2","0","0",0
"ABU-5592","Abuja","9mobile","2","Anambra","2","4G","1","2","97.89","60.91","3","0","0",0
"ABU-5593","Abuja","MTN","2","Imo","2","4G","2","3","89.41","457.63","4","308","2",1
"ABU-5595","Abuja","9mobile","1","Nasarawa","1","3G","1","1","92.69","105.26","0","410","1",0
"ABU-5596","Abuja","Glo","2","Bayelsa","3","3G","2","3","88.61","492.19","8","993","3",1
"ABU-5599","Abuja","Glo","1","Sokoto","1","4G","1","1","86.20","198.72","2","92","1",0
"ABU-5601","Abuja","9mobile","2","Adamawa","3","2G","3","3","90.80","397.30","5","1022","3",1
"ABU-5602","Abuja","Glo","1","Cross River","1","3G","1","1","90.70","133.92","0","159","1",0
"ABU-5603","Abuja","MTN","1","Nasarawa","1","4G","1","1","87.18","184.61","5","458","1",0
"ABU-5605","Abuja","MTN","1","Osun","1","4G","1","1","87.82","175.39","4","378","1",0
"ABU-5606","Abuja","Airtel","1","Borno","2","3G","2","2","90.11","284.83","7","533","2",1
"ABU-5607","Abuja","9mobile","1","FCT","1","2G","1","1","98.33","24.05","4","0","0",0
"ABU-5612","Abuja","9mobile","1","Taraba","1","2G","1","1","90.56","135.94","3","448","1",0
"ABU-5614","Abuja","Glo","1","Akwa Ibom","1","4G","1","1","99.80","2.88","0","0","0",0
"ABU-5618","Abuja","9mobile","1","Abia","1","3G","1","1","99.70","4.32","0","0","0",0
"ABU-5621","Abuja","9mobile","2","Enugu","2","4G","1","2","98.14","53.71","0","0","0",0
"ABU-5624","Abuja","MTN","1","Sokoto","1","4G","1","1","94.94","72.86","2","407","1",0
"ABU-5625","Abuja","Glo","1","Zamfara","1","4G","1","1","87.95","173.52","3","401","1",0
"ABU-5626","Abuja","MTN","1","Kano","1","3G","1","1","98.20","25.92","3","0","0",0
"ABU-5628","Abuja","Airtel","2","Cross River","2","4G","1","2","88.77","323.57","1","645","2",1
"ABU-5631","Abuja","MTN","1","Adamawa","1","2G","1","1","92.58","106.85","3","340","1",0
"ABU-5635","Abuja","9mobile","1","Adamawa","1","3G","1","1","97.12","41.47","2","0","0",0
"ABU-5636","Abuja","MTN","1","Nasarawa","1","3G","1","1","89.82","146.59","2","244","1",0
"ABU-5639","Abuja","MTN","1","Kebbi","2","3G","2","2","92.10","227.67","3","288","1",0
"ABU-5640","Abuja","Glo","1","Oyo","1","4G","1","1","88.05","172.08","3","325","1",0
"ABU-5642","Abuja","9mobile","1","Plateau","1","4G","1","1","94.82","74.59","2","150","1",0
"ABU-5643","Abuja","Airtel","3","Delta","3","4G","2","3","90.15","425.51","4","657","2",1
"ABU-5645","Abuja","MTN","1","Kaduna","1","4G","1","1","90.38","138.53","3","273","1",0
"ABU-5648","Abuja","MTN","1","Edo","1","3G","1","1","95.45","65.52","5","0","0",0
"ABU-5650","Abuja","9mobile","2","Sokoto","2","4G","1","2","95.05","142.56","7","463","1",0
"ABU-5651","Abuja","MTN","1","Enugu","1","4G","1","1","89.36","153.22","3","469","1",0
"ABU-5653","Abuja","9mobile","2","Adamawa","2","3G","1","2","87.16","369.80","5","814","2",1
"ABU-5654","Abuja","Airtel","2","Ebonyi","2","4G","1","2","96.60","97.92","5","0","0",0
"ABU-5655","Abuja","Airtel","2","Plateau","2","3G","2","2","89.58","300.10","5","764","2",1
"ABU-5656","Abuja","Airtel","1","Kano","1","3G","1","1","98.44","22.46","4","0","0",0
"ABU-5658","Abuja","Airtel","2","Adamawa","3","4G","2","3","87.61","535.39","6","962","3",1
"ABU-5662","Abuja","MTN","1","Abia","1","4G","1","1","95.69","62.06","0","0","0",0
"ABU-5665","Abuja","9mobile","1","Katsina","1","4G","1","1","98.41","22.90","3","0","0",0
"ABU-5666","Abuja","9mobile","1","Bauchi","1","4G","1","1","99.56","6.34","0","0","0",0
"ABU-5667","Abuja","9mobile","2","Ebonyi","2","3G","2","2","94.10","169.92","8","444","1",0
"ABU-5668","Abuja","9mobile","1","Osun","1","3G","1","1","89.85","146.16","5","232","1",0
"ABU-5669","Abuja","Airtel","2","Imo","3","4G","2","3","88.86","481.10","8","835","3",1
"ABU-5670","Abuja","MTN","1","Rivers","1","4G","1","1","98.41","22.90","1","0","0",0
"ABU-5671","Abuja","9mobile","1","Katsina","1","3G","1","1","93.50","93.60","4","73","1",0
"ABU-5672","Abuja","Airtel","1","Oyo","1","4G","1","1","99.81","2.74","0","0","0",0
"ABU-5673","Abuja","Glo","1","Benue","1","4G","1","1","98.12","27.07","5","0","0",0
"ABU-5675","Abuja","Glo","1","Imo","1","3G","1","1","92.19","112.46","5","458","1",0
"ABU-5677","Abuja","Airtel","2","Kebbi","2","3G","2","2","93.31","192.68","9","539","2",1
"ABU-5678","Abuja","MTN","1","Osun","1","3G","1","1","95.50","64.80","3","0","0",0
"ABU-5679","Abuja","MTN","1","Anambra","1","3G","1","1","95.89","59.18","2","0","0",0
"ABU-5681","Abuja","MTN","1","Benue","1","4G","1","1","88.88","160.13","0","202","1",0
"ABU-5684","Abuja","9mobile","2","Edo","2","4G","1","2","88.91","319.40","2","702","2",1
"ABU-5685","Abuja","9mobile","2","Cross River","2","3G","2","2","93.18","196.42","1","313","1",0
"ABU-5686","Abuja","Airtel","2","Bayelsa","2","3G","2","2","92.69","210.67","2","473","1",0
"ABU-5689","Abuja","MTN","1","Ebonyi","1","4G","1","1","95.47","65.23","4","0","0",0
"ABU-5691","Abuja","Glo","1","Cross River","1","4G","1","1","90.13","142.13","5","216","1",0
"ABU-5692","Abuja","Airtel","1","Rivers","1","4G","1","1","92.66","105.70","5","206","1",0
"ABU-5693","Abuja","MTN","2","Kwara","3","4G","2","3","88.18","510.48","12","1023","3",1
"ABU-5694","Abuja","Glo","2","Kogi","2","4G","2","3","92.02","344.59","7","1261","3",1
"ABU-5695","Abuja","Glo","2","Plateau","1","3G","2","2","91.55","243.36","2","495","1",0
"ABU-5697","Abuja","Airtel","2","Borno","2","4G","1","2","90.21","282.09","4","555","2",1
"ABU-5701","Abuja","Airtel","1","Plateau","1","4G","1","1","94.43","80.21","1","463","1",0
"ABU-5702","Abuja","Glo","1","Niger","2","3G","1","2","94.04","171.65","3","295","1",0
"ABU-5704","Abuja","Airtel","2","Bayelsa","2","4G","1","2","91.48","245.38","4","646","2",1
"ABU-5706","Abuja","9mobile","1","Kebbi","1","4G","1","1","99.45","7.92","0","0","0",0
"ABU-5708","Abuja","9mobile","2","Cross River","2","3G","2","2","92.00","230.54","2","804","2",1
"ABU-5711","Abuja","MTN","1","Nasarawa","1","4G","1","1","98.96","14.98","2","0","0",0
"ABU-5712","Abuja","MTN","1","Ondo","1","4G","1","1","99.16","12.10","0","0","0",0
"ABU-5714","Abuja","Airtel","1","Sokoto","1","4G","1","1","95.58","63.65","2","0","0",0
"ABU-5716","Abuja","MTN","1","Akwa Ibom","2","4G","1","2","97.74","65.24","2","0","0",0
"ABU-5717","Abuja","9mobile","1","Bauchi","1","4G","1","1","88.43","166.61","2","127","1",0
"ABU-5719","Abuja","Airtel","2","Abia","2","2G","2","2","87.34","364.60","2","519","2",1
"ABU-5722","Abuja","Glo","2","Benue","2","2G","2","2","91.93","232.56","0","417","1",0
"ABU-5723","Abuja","9mobile","1","Plateau","1","3G","1","1","93.93","87.41","2","385","1",0
"ABU-5724","Abuja","Glo","3","Edo","4","3G","2","4","95.07","283.82","8","207","1",0
"ABU-5727","Abuja","Glo","1","Edo","1","4G","1","1","85.87","203.47","2","122","1",0
"ABU-5728","Abuja","Airtel","1","Kano","1","5G","1","1","86.34","196.70","1","410","1",0
"ABU-5729","Abuja","Airtel","1","Plateau","1","4G","1","1","85.73","205.49","2","133","1",0
"ABU-5730","Abuja","9mobile","1","Bauchi","1","4G","1","1","99.39","8.78","0","0","0",0
"ABU-5731","Abuja","9mobile","2","Oyo","2","3G","2","2","98.55","41.76","1","0","0",0
"ABU-5737","Abuja","Airtel","1","Jigawa","1","4G","1","1","94.48","79.49","1","112","1",0
"ABU-5738","Abuja","Airtel","1","Lagos","1","4G","1","1","99.76","3.46","0","0","0",0
"ABU-5741","Abuja","Glo","1","Abia","1","4G","1","1","98.79","17.42","4","0","0",0
"ABU-5743","Abuja","Airtel","1","Ondo","1","4G","1","1","86.79","190.22","5","253","1",0
"ABU-5747","Abuja","MTN","1","Adamawa","1","3G","1","1","95.42","65.95","4","0","0",0
"ABU-5751","Abuja","9mobile","1","Bauchi","1","2G","1","1","87.79","175.82","4","175","1",0
"ABU-5753","Abuja","Airtel","1","Delta","1","3G","1","1","97.32","38.59","2","0","0",0
"ABU-5754","Abuja","Glo","1","Niger","1","4G","1","1","94.78","75.17","5","136","1",0
"ABU-5757","Abuja","Airtel","1","Adamawa","1","4G","1","1","99.25","10.80","0","0","0",0
"ABU-5758","Abuja","Glo","1","Cross River","1","3G","1","1","85.36","210.82","5","494","1",0
"ABU-5759","Abuja","Glo","1","Jigawa","1","4G","1","1","96.80","46.08","3","0","0",0
"ABU-5760","Abuja","9mobile","1","Anambra","1","4G","1","1","90.17","141.55","4","294","1",0
"ABU-5761","Abuja","MTN","1","Katsina","2","4G","2","2","96.22","108.86","7","0","0",0
"ABU-5762","Abuja","9mobile","1","Kwara","1","3G","1","1","94.77","75.31","1","143","1",0
"ABU-5763","Abuja","Airtel","1","Anambra","1","4G","1","1","91.21","126.58","4","55","1",0
"ABU-5765","Abuja","MTN","3","Akwa Ibom","4","3G","2","4","91.95","463.54","7","609","3",1
"ABU-5766","Abuja","9mobile","3","FCT","3","3G","2","3","90.38","415.45","15","907","3",1
"ABU-5769","Abuja","Glo","2","Imo","2","3G","2","2","96.23","108.72","6","414","1",0
"ABU-5770","Abuja","9mobile","1","Benue","1","4G","1","1","97.53","35.57","2","0","0",0
"ABU-5773","Abuja","9mobile","2","Ekiti","2","4G","1","2","91.22","252.86","4","741","2",1
"ABU-5775","Abuja","Glo","1","Bayelsa","2","3G","2","2","91.86","234.43","5","828","2",1
"ABU-5777","Abuja","9mobile","2","Edo","2","3G","2","2","93.56","185.47","10","557","2",1
"ABU-5780","Abuja","9mobile","1","Niger","1","3G","1","1","94.91","73.30","2","110","1",0
"ABU-5781","Abuja","MTN","2","Borno","3","4G","2","3","92.16","338.55","6","241","2",1
"ABU-5783","Abuja","Glo","1","Cross River","1","4G","1","1","97.73","32.69","5","0","0",0
"ABU-5784","Abuja","9mobile","1","Ogun","1","3G","1","1","98.08","27.65","4","0","0",0
"ABU-5785","Abuja","Airtel","2","Akwa Ibom","2","3G","2","2","87.04","373.39","4","589","2",1
"ABU-5786","Abuja","MTN","1","Cross River","1","4G","1","1","99.98","0.29","0","0","0",0
"ABU-5789","Abuja","Airtel","1","Kaduna","1","4G","1","1","88.15","170.64","5","88","1",0
"ABU-5790","Abuja","Airtel","1","Niger","1","4G","1","1","99.69","4.46","0","0","0",0
"ABU-5793","Abuja","Airtel","1","FCT","1","3G","1","1","97.92","29.95","4","0","0",0
"ABU-5794","Abuja","Glo","1","Kano","1","4G","1","1","97.06","42.34","5","0","0",0
"ABU-5797","Abuja","9mobile","1","Abia","2","3G","2","2","91.63","241.20","1","218","1",0
"ABU-5798","Abuja","MTN","1","Ogun","1","3G","1","1","89.19","155.66","4","173","1",0
"ABU-5799","Abuja","Glo","2","Ekiti","2","3G","2","2","94.14","168.77","7","332","1",0
"ABU-5800","Abuja","9mobile","2","Enugu","1","3G","2","2","91.41","247.54","2","562","2",1
"ABU-5801","Abuja","MTN","1","Kano","1","3G","1","1","98.94","15.26","2","0","0",0
"ABU-5804","Abuja","Airtel","2","Katsina","2","3G","2","2","85.68","412.56","5","754","2",1
"ABU-5807","Abuja","Glo","1","Osun","1","4G","1","1","86.96","187.78","2","105","1",0
"ABU-5809","Abuja","Airtel","2","Jigawa","2","4G","1","2","96.05","113.91","9","78","1",0
"ABU-5811","Abuja","MTN","1","Oyo","1","4G","1","1","91.52","122.11","0","383","1",0
"ABU-5812","Abuja","MTN","1","Lagos","1","2G","1","1","94.52","78.91","3","341","1",0
